SEQCHR,LPCNT,TIME at xx%,TIME_Mean,TIME_Min,TIME_Max,TIME_SDev,Count
I,0,64,7.991,0,64,21.158,3396
u,1,29,27.934,27,29,0.822,425
w,6,5,4.214,4,5,0.411,425
w,7,191,190.219,189,195,0.623,425
d,12,9971,9450.467,8715,10473,249.728,424
d,16,9809,9295.767,8580,10335,247.604,424
v,20,750,114.487,14,3319,237.495,425
V,21,7,1.509,0,11,1.522,2971
c,22,26,2.645,0,70,7.763,425
k,23,5,4.993,4,6,0.188,425
w,24,5,4.351,4,5,0.478,425
?,25,621,606.560,589,633,6.746,425
T,26,1496,405.130,0,1804,410.367,424
v,27,1352,522.271,313,3158,303.541,425
v,28,2,0.875,0,2,0.413,425
d,32,47285,25400.019,16784,68354,7983.604,421
c,36,56,8.340,0,148,18.936,423
c,37,471,45.213,1,931,123.146,423
c,38,182,19.943,1,392,51.081,423
v,39,32,21.716,15,724,42.177,423
v,40,70,22.686,15,299,18.302,423
w,41,115,109.009,107,119,1.635,423
s,45,8754,8265.293,7671,11669,271.989,423
w,47,5,4.303,4,5,0.460,423
s,50,8766,8278.376,7691,9772,236.365,423
v,54,20,17.121,15,397,19.132,423
w,55,5,4.366,4,5,0.482,423
v,57,8,2.024,1,10,1.582,423
c,58,9,3.681,2,15,1.703,423
c,60,7,1.757,0,10,1.645,423
c,61,58,11.217,1,96,14.367,423
c,62,58,11.191,1,95,14.331,423
c,63,66,12.444,1,104,15.650,423
v,65,954,269.884,126,1612,193.619,423
v,66,31,18.636,15,39,3.704,423
v,67,41,22.305,16,463,23.516,423
v,68,31,18.678,16,39,3.716,423
v,69,35,20.352,16,333,18.088,423
v,70,237,62.546,17,783,73.699,423
v,71,31,18.641,16,39,3.722,423
v,72,37,20.939,16,472,22.905,423
v,73,130,30.719,16,810,52.796,423
v,74,441,165.213,40,1125,108.706,423
a,79,4508,4474.522,4458,7393,147.557,423
u,80,30,28.839,27,30,0.697,423
