WorkWeek,MTYPE,PROC,TESTERTYPE,TESTPGMVER,MSS,All_FirstYield,All_LatestYield,All_SDev,All_Count,All_Min,All_Mean,All_Max,All_MeanMaxByTester,All_99%Comp,All_95%Comp,All_100%Comp,Passer_FirstYield,Passer_LatestYield,Passer_Mean,Passer_Min,Passer_Max,Passer_SDev,Passer_95%Comp,Passer_99%Comp,Passer_100%Comp,Passer_MeanMaxByTester,Passer_Count,ExecuteDate
201635,MPS6,6400,MANUAL,MPSFD21M,10.4,91.82,92.31,1.81,4588,0.05,9.15,10.48,9.85,10.07,9.99,10.48,100,100,9.67,9.24,10.48,0.19,10,10.08,10.48,9.85,4154,1/1/2016 00:00
201635,MPS6,6400,MANUAL,MPSXE07M,10.4,97.39,97.39,0.48,153,6.27,9.39,9.83,9.59,9.82,9.81,9.83,100,100,9.45,9.25,9.83,0.2,9.81,9.82,9.83,9.59,149,1/1/2016 00:00
201635,MPS8,6400,MANUAL,MPSFD21M,13.3,88.16,89.06,2.84,4798,0.04,11.4,14,12.66,12.76,12.67,14,100,100,12.41,11.9,12.91,0.19,12.67,12.77,12.91,12.63,4154,1/1/2016 00:00
201635,MPS8,6400,MANUAL,MPSXE07M,13.3,71.97,71.97,3.85,239,0.08,9.94,13.21,12.81,12.6,12.54,13.21,100,100,12.21,11.97,13.21,0.19,12.54,12.62,13.21,12.74,172,1/1/2016 00:00
201635,MPSA,6400,MANUAL,MPSFD21M,15.7,88.18,89.02,3.47,4165,0.02,14.03,17.24,15.43,15.65,15.5,17.24,100,100,15.22,14.52,17.24,0.27,15.51,15.73,17.24,15.43,3617,1/1/2016 00:00
201635,MPSA,6400,MANUAL,MPSXE07M,15.7,77.87,77.87,4.22,235,0.09,12.87,15.49,15.35,15.42,15.4,15.49,100,100,15.02,14.68,15.49,0.23,15.41,15.43,15.49,15.32,183,1/1/2016 00:00
201635,MPS6,6800,XCALIBRE,MPSFD21,74,87.1,87.06,17.65,3254,0.06,65.33,87.38,66.42,76.94,73.54,87.38,100,100,71.1,7.46,87.38,4.29,73.63,76.64,87.38,71.6,2811,1/1/2016 00:00
201635,MPS6,6800,XCALIBRE,MPSXE07,74,95.28,95.28,11.4,235,0.06,69.17,79.04,70.26,75.02,73.03,79.04,100,100,71.3,70.09,79.04,1.08,73.03,75.02,79.04,71.81,223,1/1/2016 00:00
201635,MPS8,6800,XCALIBRE,MPSFD21,102.3,85.93,85.9,22.26,5572,0.02,92.25,332.68,93.62,109.95,103.94,332.68,100,100,98.97,0.46,123.86,5.22,103.97,109.61,123.86,99.88,4758,1/1/2016 00:00
201635,MPS8,6800,XCALIBRE,MPSXE07,102.3,30.3,30.3,34.47,34,4.03,62.77,98.96,64.76,98.5,98.29,98.96,100,100,97.66,95.66,98.5,0.82,98.25,98.25,98.5,97.66,10,1/1/2016 00:00
201635,MPSA,6800,XCALIBRE,MPSFD21,138,86.59,86.59,30.33,3380,0.05,123.96,202.45,125.3,146.65,139.82,202.45,100,100,132.64,2.01,190.08,10.63,139.87,146.2,190.08,133.85,2909,1/1/2016 00:00
201635,MPS6,9000,MANUAL,MPSA933M,14,97.71,98.01,1.34,11796,0.03,12.92,17.72,13.55,13.71,13.55,17.72,100,100,13.09,12.4,17.72,0.4,13.55,13.72,17.72,13.55,11517,1/1/2016 00:00
201635,MPS6,9000,MANUAL,MPSA934M,14,88.67,97.35,3.78,905,0.03,11.8,13.71,12.35,13.55,13.4,13.71,100,100,13.06,12.54,13.71,0.21,13.42,13.56,13.71,13.54,808,1/1/2016 00:00
201635,MPS6,9000,MANUAL,MPSA935M,14,93.33,93.33,2.49,15,3.57,12.54,13.59,$null$,13.37,13.37,13.59,100,100,13.18,12.92,13.59,0.17,13.37,13.37,13.59,$null$,14,1/1/2016 00:00
201635,MPS8,9000,MANUAL,MPSA933M,18.5,97.94,98.09,1.68,12224,0.03,17.11,18.4,17.81,17.74,17.59,18.4,100,100,17.33,16.78,18.4,0.15,17.6,17.74,18.4,17.81,11966,1/1/2016 00:00
201635,MPS8,9000,MANUAL,MPSA934M,18.5,98.93,98.93,1.23,2058,0.04,17.21,17.92,17.72,17.69,17.56,17.92,100,100,17.32,16.86,17.92,0.14,17.56,17.69,17.92,17.72,2036,1/1/2016 00:00
201635,MPSA,9000,MANUAL,MPSA933M,23.5,96.82,98.18,3.41,10743,0.03,21.79,31,22.68,24.28,23.18,31,100,100,22.36,21.18,31,0.94,23.18,29.33,31,22.93,10377,1/1/2016 00:00
201635,MPSA,9000,MANUAL,MPSA934M,23.5,99.65,99.65,0.5,859,13.49,21.9,23.06,22.52,22.75,22.48,23.06,100,100,21.92,21.33,23.06,0.3,22.48,22.75,23.06,22.53,856,1/1/2016 00:00
201635,MPS6,6800,MANUAL,MPSFD21,82,94.9,94.9,6.6,2321,0.02,70.34,84.07,77.7,75.88,73.38,84.07,100,100,71.29,0.03,83.54,1.91,73.39,75.46,83.54,77.24,2203,1/1/2016 00:00
201635,MPS8,6800,MANUAL,MPSFD21,118,92.96,93.02,8.79,1719,10.63,97.61,126.07,110.3,106.9,103.6,126.07,100,100,98.94,10.63,124,3.27,103.59,106.85,124,109.77,1597,1/1/2016 00:00
201635,MPSA,6800,MANUAL,MPSFD21,155,86.98,86.98,27.68,1149,0.01,124.97,165.08,148.89,145.84,140.08,165.08,100,100,133.78,0.03,152.66,6.86,140.1,145.84,152.66,146.96,991,1/1/2016 00:00
201635,MPS6,6400,MANUAL,ALL_PRODUCTION,10.4,91.99,92.46,1.8,4570,0.05,9.16,10.48,9.85,10.07,9.99,10.48,100,100,9.67,9.24,10.48,0.19,10,10.08,10.48,9.85,4145,1/1/2016 00:00
201635,MPS8,6400,MANUAL,ALL_PRODUCTION,13.3,89.12,89.96,2.72,4668,0.04,11.49,14,12.65,12.76,12.67,14,100,100,12.42,11.9,12.91,0.19,12.67,12.77,12.91,12.63,4087,1/1/2016 00:00
201635,MPSA,6400,MANUAL,ALL_PRODUCTION,15.7,88.3,89.22,3.42,3791,0.05,14.06,17.24,15.42,15.65,15.5,17.24,100,100,15.22,14.52,17.24,0.27,15.51,16.22,17.24,15.42,3294,1/1/2016 00:00
201635,MPS6,6800,MANUAL,ALL_PRODUCTION,82,94.89,94.89,6.6,2290,0.02,70.33,84.07,77.7,75.89,73.38,84.07,100,100,71.29,0.03,83.54,1.92,73.39,75.73,83.54,77.23,2173,1/1/2016 00:00
201635,MPS8,6800,MANUAL,ALL_PRODUCTION,118,92.89,92.95,9.13,1703,0.03,97.52,126.07,110.3,106.85,103.52,126.07,100,100,98.91,10.63,124,3.27,103.48,106.58,124,109.76,1582,1/1/2016 00:00
201635,MPSA,6800,MANUAL,ALL_PRODUCTION,155,87.01,87.01,27.2,1116,0.01,125.35,165.08,148.99,145.84,140.08,165.08,100,100,133.74,0.03,152.66,6.89,140.1,145.55,152.66,147.02,971,1/1/2016 00:00
201635,MPS6,9000,MANUAL,ALL_PRODUCTION,14,97.13,98.05,1.66,12390,0.03,12.84,17.72,13.47,13.69,13.54,17.72,100,100,13.09,12.4,17.72,0.39,13.55,13.7,17.72,13.56,12024,1/1/2016 00:00
201635,MPS8,9000,MANUAL,ALL_PRODUCTION,18.5,98.08,98.22,1.62,13817,0.03,17.13,18.4,17.79,17.73,17.59,18.4,100,100,17.33,16.78,18.4,0.15,17.59,17.73,18.4,17.79,13543,1/1/2016 00:00
201635,MPSA,9000,MANUAL,ALL_PRODUCTION,23.5,96.17,98.31,3.46,11174,0.02,21.64,31,22.49,24.25,23.16,31,100,100,22.28,21.18,31,0.78,23.16,24.25,31,22.85,10726,1/1/2016 00:00
201635,MPS6,6800,XCALIBRE,ALL_PRODUCTION,74,86.96,86.99,17.67,3189,0.04,65.35,87.38,71.9,76.79,73.53,87.38,100,100,71.09,7.46,87.38,4.32,73.63,76.64,87.38,71.93,2759,1/1/2016 00:00
201635,MPS8,6800,XCALIBRE,ALL_PRODUCTION,102.3,85.97,85.94,22.02,5414,0.02,92.4,332.68,100.06,109.95,103.87,332.68,100,100,98.99,0.46,123.86,4.85,103.94,109.6,123.86,100.09,4640,1/1/2016 00:00
201635,MPSA,6800,XCALIBRE,ALL_PRODUCTION,138,87,86.97,29.03,3239,0.05,124.89,202.45,134.66,146.95,139.8,202.45,100,100,132.9,0.07,190.08,9.19,139.82,146.3,190.08,134.79,2811,1/1/2016 00:00
